Simulation,Data Size (TB),ESGF Links,HPSS Path,HPSS URL
v3.LR.piControl,69,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piControl%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piControl,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piControl
v3.LR.abrupt-4xCO2_0101_bcdt15m,15,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22abrupt-4xCO2%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.abrupt-4xCO2_0101_bcdt15m,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.abrupt-4xCO2_0101_bcdt15m
v3.LR.1pctCO2_0101_bcdt15m,16,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%221pctCO2%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.1pctCO2_0101_bcdt15m,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.1pctCO2_0101_bcdt15m
v3.LR.historical_0051,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22historical%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0051,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0051
v3.LR.historical_0101,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22historical%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0101
v3.LR.historical_0151,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22historical%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0151
v3.LR.historical_0201,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22historical%22%2C%22variant_label%22%3A%22r4i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0201
v3.LR.historical_0251,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22historical%22%2C%22variant_label%22%3A%22r5i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0251,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.historical_0251
v3.LR.hist-GHG_0101,20,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-GHG%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-GHG_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-GHG_0101
v3.LR.hist-GHG_0151,20,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-GHG%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-GHG_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-GHG_0151
v3.LR.hist-GHG_0201,20,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-GHG%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-GHG_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-GHG_0201
v3.LR.hist-aer_0101,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-aer%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-aer_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-aer_0101
v3.LR.hist-aer_0151,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-aer%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-aer_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-aer_0151
v3.LR.hist-aer_0201,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-aer%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-aer_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-aer_0201
v3.LR.hist-xGHG-xaer_0101,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-nat%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-xGHG-xaer_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-xGHG-xaer_0101
v3.LR.hist-xGHG-xaer_0151,20,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-nat%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-xGHG-xaer_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-xGHG-xaer_0151
v3.LR.hist-xGHG-xaer_0201,19,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22hist-nat%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-xGHG-xaer_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.hist-xGHG-xaer_0201
v3.LR.amip_0101,8,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.amip_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.amip_0101
v3.LR.amip_0151,6,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.amip_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.amip_0151
v3.LR.amip_0201,6,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.amip_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.amip_0201
v3.LR.amip_bonus_0101,25.5,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.LR.amip_bonus_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.LR.amip_bonus_0101
LR_ensemble,4.7,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/LR_ensemble,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/LR_ensemble
v3.LR.piClim-control-iceini,3,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-control%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-control-iceini,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-control-iceini
v3.LR.piClim-histall/v3.LR.piClim-histall_0101,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histall%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histall/v3.LR.piClim-histall_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histall/v3.LR.piClim-histall_0101
v3.LR.piClim-histall/v3.LR.piClim-histall_0151,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histall%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histall/v3.LR.piClim-histall_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histall/v3.LR.piClim-histall_0151
v3.LR.piClim-histall/v3.LR.piClim-histall_0201,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histall%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histall/v3.LR.piClim-histall_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histall/v3.LR.piClim-histall_0201
v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0101,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histGHG%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0101
v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0151,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histGHG%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0151
v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0201,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histGHG%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histGHG/v3.LR.piClim-histGHG_0201
v3.LR.piClim-histaer/v3.LR.piClim-histaer_0101,8,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histaer%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histaer/v3.LR.piClim-histaer_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histaer/v3.LR.piClim-histaer_0101
v3.LR.piClim-histaer/v3.LR.piClim-histaer_0151,8,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histaer%22%2C%22variant_label%22%3A%22r2i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histaer/v3.LR.piClim-histaer_0151,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histaer/v3.LR.piClim-histaer_0151
v3.LR.piClim-histaer/v3.LR.piClim-histaer_0201,9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22piClim-histaer%22%2C%22variant_label%22%3A%22r3i1p1f1%22%7D,/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histaer/v3.LR.piClim-histaer_0201,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/LR/v3.LR.piClim-histaer/v3.LR.piClim-histaer_0201
v3.NARRM.amip_0101,24.5,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.NARRM.amip_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.NARRM.amip_0101
v3.NARRM_r0125.amip_0101,77.8,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.NARRM_r0125.amip_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.NARRM_r0125.amip_0101
RRM_ensemble,20.3,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/RRM_ensemble,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/RRM_ensemble
v3.AMZRRM.amip_0101,28.9,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.AMZRRM.amip_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.AMZRRM.amip_0101
v3.EARRM.amip_0101,27.8,,/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.EARRM.amip_0101,https://portal.nersc.gov/archive/home/projects/e3sm/www/CoupledSystem/E3SMv3/RRM/v3.EARRM.amip_0101
