Simulation,Data Size (TB),ESGF Links,HPSS Path,HPSS URL
v3.NARRM.amip_0101,24.5,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/t/tang30/E3SMv3/RRM/v3.NARRM.amip_0101,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/v3.NARRM.amip_0101
v3.NARRM_r0125.amip_0101,77.8,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/t/tang30/E3SMv3/RRM/v3.NARRM_r0125.amip_0101,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/v3.NARRM_r0125.amip_0101
RRM_ensemble,20.3,,/home/t/tang30/E3SMv3/RRM/RRM_ensemble,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/RRM_ensemble
v3.AMZRRM.amip_0101,28.9,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/t/tang30/E3SMv3/RRM/v3.AMZRRM.amip_0101,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/v3.AMZRRM.amip_0101
v3.EARRM.amip_0101,27.8,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/t/tang30/E3SMv3/RRM/v3.EARRM.amip_0101,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/v3.EARRM.amip_0101
LR_ensemble,4.7,,/home/t/tang30/E3SMv3/RRM/LR_ensemble,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/LR_ensemble
v3.LR.amip_bonus_0101,25.5,https://aims2.llnl.gov/search?project=CMIP6-E3SM-Ext&activeFacets=%7B%22source_id%22%3A%22E3SM-3-0%22%2C%22experiment_id%22%3A%22amip%22%2C%22variant_label%22%3A%22r1i1p1f1%22%7D,/home/t/tang30/E3SMv3/RRM/v3.LR.amip_bonus_0101,https://portal.nersc.gov/archive/home/t/tang30/E3SMv3/RRM/v3.LR.amip_bonus_0101
