model_version, group, resolution, category, simulation_name, machine, checksum, experiment, ensemble_num, link_type, node,
v1, Cryosphere, LR, v1Cryo, 20190225.GMPAS-DIB-IAF-ISMF.T62_oEC60to30v3wLI.cori-knl, cori, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20190306.A_WCYCL1850-DIB-ISMF_CMIP6.ne30_oECv3wLI.edison, edison, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20190430.A_WCYCL1850-DIB-ISMF_CMIP6.ne30_oECv3wLI.control.cori-knl, cori, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20190819.GMPAS-DIB-IAF-ISMF.T62_oEC60to30v3wLI.cori-knl.testNewGM, cori, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20190923.GMPAS-IAF.T62_oEC60to30v3wLI.cori-knl, cori, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20200610.A_WCYCL1850-DIB-ISMF_CMIP6.ne30_ECwISC30to60E1r2.cori-knl.maint1p2-3DGM, cori, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20210614.A_WCYCL1850-DIB-ISMF_CMIP6.ne30_ECwISC30to60E1r2.anvil.DIBbugFixMGM, anvil, , , , none, ,
v1, Cryosphere, LR, v1Cryo, 20210614.A_WCYCL1850-DIB-ISMF_CMIP6.ne30_oECv3wLI.DIBbugfix.anvil, cori, , , , none, ,
