model_version, group, resolution, category, simulation_name, machine, checksum, experiment, ensemble_num, cmip_only,
v2, WaterCycle, LR, DECK, v2.LR.piControl, chrysalis, 7547932242025fdf92014d06d6f9eec2, piControl, 1, ,
v2, WaterCycle, LR, DECK, v2.LR.piControl_land, chrysalis, , , , ,
v2, WaterCycle, LR, DECK, v2.LR.abrupt-4xCO2_0101, chrysalis, 86bc7dfbdc6a71e4bd2925943a15c474, abrupt-4xCO2, 1, ,
v2, WaterCycle, LR, DECK, v2.LR.abrupt-4xCO2_0301, chrysalis, cd61cc01cfbd03913fafcb6cbe18a8bc, abrupt-4xCO2, 2, ,
v2, WaterCycle, LR, DECK, v2.LR.1pctCO2_0101, chrysalis, 3300255fc76bc13433fafea37fb36570, 1pctCO2, 1, ,
v2, WaterCycle, LR, Historical, v2.LR.historical_0101, chrysalis, 61a7f492bdcc6e6cd4a2b41c92546219, historical, 1, ,
v2, WaterCycle, LR, Historical, v2.LR.historical_0151, chrysalis, 6b17c91b7e07d31c162adbfbe7782d42, historical, 2, ,
v2, WaterCycle, LR, Historical, v2.LR.historical_0201, chrysalis, e79dda36bb76507cc6fdf88292e8ced9, historical, 3, ,
v2, WaterCycle, LR, Historical, v2.LR.historical_0251, chrysalis, 6ad002ff6f198f6ba936171da48bc5b2, historical, 4, ,
v2, WaterCycle, LR, Historical, v2.LR.historical_0301, chrysalis, 42ffbf170db587dc25d84d5d2ec7bc12, historical, 5, ,
v2, WaterCycle, LR, Historical, v2.LR.historical_0101_bonus, chrysalis, d23e455ba5bef0bf87211468570b6835, , , ,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0111, cori-knl, , historical, 6, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0121, cori-knl, , historical, 7, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0131, cori-knl, , historical, 8, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0141, cori-knl, , historical, 9, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0161, cori-knl, , historical, 10, cmip_only,
