model_version, group, resolution, category, simulation_name, machine, checksum, experiment, ensemble_num, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0171, cori-knl, , historical, 11, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0181, cori-knl, , historical, 12, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0191, cori-knl, , historical, 13, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0211, cori-knl, , historical, 14, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0221, cori-knl, , historical, 15, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0231, cori-knl, , historical, 16, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0241, cori-knl, , historical, 17, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0261, cori-knl, , historical, 18, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0271, cori-knl, , historical, 19, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0281, cori-knl, , historical, 20, cmip_only,
v2, WaterCycle, LR, Historical LE, v2.LR.historical_0291, cori-knl, , historical, 21, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0101, cori-knl, , ssp370, 1, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0151, cori-knl, , ssp370, 2, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0201, cori-knl, , ssp370, 3, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0251, cori-knl, , ssp370, 4, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0301, cori-knl, , ssp370, 5, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0111, cori-knl, , ssp370, 6, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0121, cori-knl, , ssp370, 7, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0131, cori-knl, , ssp370, 8, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0141, cori-knl, , ssp370, 9, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0161, cori-knl, , ssp370, 10, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0171, cori-knl, , ssp370, 11, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0181, cori-knl, , ssp370, 12, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0191, cori-knl, , ssp370, 13, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0211, cori-knl, , ssp370, 14, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0221, cori-knl, , ssp370, 15, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0231, cori-knl, , ssp370, 16, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0241, cori-knl, , ssp370, 17, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0261, cori-knl, , ssp370, 18, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0271, cori-knl, , ssp370, 19, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0281, cori-knl, , ssp370, 20, cmip_only,
v2, WaterCycle, LR, SSP370 LE, v2.LR.SSP370_0291, cori-knl, , ssp370, 21, cmip_only,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-GHG_0101, chrysalis, 5cc8d0d76887740d8a82568e13e2ff36, hist-GHG, 1, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-GHG_0151, chrysalis, c9aff4fd826f18d0872135b845090a6b, hist-GHG, 2, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-GHG_0201, chrysalis, 9098a4135bfda91ccef99d3f701fd5e5, hist-GHG, 3, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-GHG_0251, chrysalis, 7924e97a4abf55bbd7be708987e29153, hist-GHG, 4, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-GHG_0301, chrysalis, d461a8bbddd3afc9f8d701943609b83c, hist-GHG, 5, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-aer_0101, chrysalis, c00ea4f726194ced3669a7f0ae0bac27, hist-aer, 1, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-aer_0151, chrysalis, 1a85a01b55fa91abdf9983a17f24e774, hist-aer, 2, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-aer_0201, chrysalis, 7feaa4d32a7a888ff969106e48ed9db7, hist-aer, 3, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-aer_0251, chrysalis, 849376c7d30ad2dd296f4b4e16eeccf0, hist-aer, 4, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-aer_0301, chrysalis, d35d92f676c4b312e227415cf19b3316, hist-aer, 5, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-all-xGHG-xaer_0101, chrysalis, a5768c505bb12f778b2606ae8f5705ce, hist-all-xGHG-xaer, 1, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-all-xGHG-xaer_0151, chrysalis, 3d9726d0f3440c2fcd6625d85094a57c, hist-all-xGHG-xaer, 2, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-all-xGHG-xaer_0201, chrysalis, 363ecb08227bdfd972e5f058dd12b434, hist-all-xGHG-xaer, 3, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-all-xGHG-xaer_0251, chrysalis, 6a9465b94bef49a235defbd44db273bd, hist-all-xGHG-xaer, 4, ,
v2, WaterCycle, LR, Single-forcing (DAMIP-like), v2.LR.hist-all-xGHG-xaer_0301, chrysalis, 16a900d361d1edcbd24813445d7d1cd6, hist-all-xGHG-xaer, 5, ,
v2, WaterCycle, LR, AMIP, v2.LR.amip_0101, chrysalis, a6cff5ea277dd3a08be6bbc4b1c84a69, amip, 1, ,
v2, WaterCycle, LR, AMIP, v2.LR.amip_0201, chrysalis, 64e0fae59c1f6a48da0cae534c8be4a1, amip, 2, ,
v2, WaterCycle, LR, AMIP, v2.LR.amip_0301, chrysalis, 6ae0ba340ef42b945c8573e9e5d7a0c7, amip, 3, ,
v2, WaterCycle, LR, AMIP, v2.LR.amip_0101_bonus, chrysalis, c4b1c7337e89134fca7420437992ea97, , , ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-control, chrysalis, 6ce41c36ea2f86e984d12d364085323e, piClim-control, 1, ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-histall_0021, chrysalis, c932625975561731c96124c4b3105b44, piClim-histall, 1, ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-histall_0031, chrysalis, d6fda41f1ed496d86ffc6cfd6929cc62, piClim-histall, 2, ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-histall_0041, chrysalis, 0e9d9fbc8a132299fed161bd833fdd43, piClim-histall, 3, ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-histaer_0021, chrysalis, 442ebb4ff467d8c9f57c5d5b4ec37bd9, piClim-histaer, 1, ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-histaer_0031, chrysalis, e8101ef8d0514c0ab00650a6413e59d8, piClim-histaer, 2, ,
v2, WaterCycle, LR, RFMIP, v2.LR.piClim-histaer_0041, chrysalis, a67cf4f46aa6ca5f568b5a14f0b2f887, piClim-histaer, 3, ,
v2, WaterCycle, LR, Other, v2_ndgclim_t6h_1850aer, , , , , ,
v2, WaterCycle, LR, Other, v2_ndgclim_t6h_2010aer, , , , , ,
v2, WaterCycle, NARRM, DECK, v2.NARRM.piControl, chrysalis, c18df3c0834abd2b5c63899e37559ccd, piControl, 1, ,
v2, WaterCycle, NARRM, DECK, v2.NARRM.abrupt-4xCO2_0101, chrysalis, 1eb5423d852764bbcd1bf67b180efc43, abrupt-4xCO2, 1, ,
v2, WaterCycle, NARRM, DECK, v2.NARRM.1pctCO2_0101, chrysalis, 80e6c83b39d58cb00876506deabfd8c2, 1pctCO2, 1, ,
v2, WaterCycle, NARRM, Historical, v2.NARRM.historical_0101, chrysalis, 4a9ccd61766640b4a4f4b15dc5f5b956, historical, 1, ,
v2, WaterCycle, NARRM, Historical, v2.NARRM.historical_0151, cori-knl, , historical, 2, ,
v2, WaterCycle, NARRM, Historical, v2.NARRM.historical_0201, cori-knl, , historical, 3, ,
v2, WaterCycle, NARRM, Historical, v2.NARRM.historical_0251, cori-knl, , historical, 4, ,
v2, WaterCycle, NARRM, Historical, v2.NARRM.historical_0301, chrysalis, 24147fbb5d601e1bd6fcae6ace72968c, historical, 5, ,
v2, WaterCycle, NARRM, Historical, v2.NARRM.historical_0101_bonus, chrysalis, , , , ,
v2, WaterCycle, NARRM, AMIP, v2.NARRM.amip_0101, chrysalis, 930b7fc7e946910c3c8e716f733d0f31, amip, 1, ,
v2, WaterCycle, NARRM, AMIP, v2.NARRM.amip_0201, chrysalis, a8326dd3922cbf32dccedb494fcedffb, amip, 2, ,
v2, WaterCycle, NARRM, AMIP, v2.NARRM.amip_0301, chrysalis, f8bcd50a7e9c5ef8253908b73ee7471c, amip, 3, ,
v2, WaterCycle, NARRM, AMIP, v2.NARRM.amip_0101_bonus, chrysalis, , , , ,
v2, WaterCycle, NARRM, Other, v2.NA.F20TR.6h.f1.1850aer, , , , , , ,
v2, WaterCycle, NARRM, Other, v2.NA.F20TR.6h.f1.2010aer , , , , , ,
